struct_idx	county	phillimore	text_type
1015	SUS	"13,20"	E
1016	SUS	"13,21"	E
1017	SUS	"13,22"	E
1018	SUS	"13,23"	E
1019	SUS	"13,24"	E
1020	SUS	"13,25"	E
1021	SUS	"13,26"	E
1022	SUS	"13,27"	E
1023	SUS	"13,28"	E
1024	SUS	"13,29"	E
1025	SUS	"13,30"	E
1026	SUS	"13,31"	E
1027	SUS	"13,32"	E
1028	SUS	"13,33"	E
1029	SUS	"13,34"	E
1030	SUS	"13,35"	E
1031	SUS	"13,36"	E
1032	SUS	"13,37"	E
1033	SUS	"13,38"	E
1034	SUS	"13,39"	E
1035	SUS	"13,40"	E
1036	SUS	"13,41"	E
1037	SUS	"13,42"	E
1038	SUS	"13,43"	E
